word,mean,similar
핵인싸,소셜 네트워크 등에서 많은 사람들과 인기있게 교류하는 사람으로 '핵'과 '인싸이더'를 합친 말입니다.,"인기 많은 사람, 인기 많은 사람이"
이지붐,손쉽게 즐길 수 있는 즐거운 경험을 의미하는 용어입니다.,쉽게 즐길 수 있는 경험
아재개그,아재는 아저씨의 다른 말로 아재 개그는 중년 남성들이 자주하는 유치하고 재미없는 농담(개그)을 의미합니다.,시대가 지난 개그
팔로워,소셜 미디어에서 자신의 계정을 구독하거나 팔로우하는 사람들을 가리키는 용어입니다.,팔로우 하는 사람들
꿀잠,아주 푹 자는 잠을 가리키는 말입니다.,개운한 잠
오마이갓,영어권에서 놀랄때 깜짝이야! 처럼 Oh My God(신이시여)라는 말을  감탄사로 놀라움을 표현하는 말입니다.,"너무 놀라워, 너무 놀람"
쇼미더,쇼미더는 영어 Show me the 를 한국어로 쓴 말로 보여달라는 의미입니다.,보여줘
소귀,소소하게 귀여운 사람입니다.,소소하게 귀여운 사람
프사,소셜미디어 등에서 프로필에 올려두는 사진을 의미하는 줄임말입니다. (Profile Picture),프로필 사진
카피녀,옷 메이크업 등을 사람들의 룩을 복사하여 따라하는 여자를 의미하는 말,다른 사람의 코디를 따라하는 여자
정주행,드라마나 영화 등을 쉬지않고 연속해서 보는 것을 의미합니다.,끊기지 않고 이어보기
실전재능,실제 상황에서 발휘하는 재능을 가리키는 용어입니다.,실전 재능
얼추,얼굴 만으로 대충 추측하는 말입니다.,얼굴로 추축
구두주의,말이 무겁고 예의 바른 발언을 강조하는 말입니다.,말을 아끼고 예의가 바른 발언
무신사,무심한 듯 차분하고 멋진 스타일을 지닌 남성을 지칭하는 말 무신사 쇼핑몰에서 유래했습니다.,"무심한 신사분, 무심한 신사분이"
카톡제막,메시지를 보고 답장하지 않는 사람을 지칭하는 말입니다.,읽고 답장하지 않는 사람
멘붕,멘탈 붕괴를 줄인 말로 정신적으로 지친 상태를 의미합니다.,정신적으로 지친 상태
메리제인,"대마초를 가리키는 마리화나(marijuana)에서 Mari(마리)와 Juana(후아나)는 스페인어 여성 이름으로, 영어로는 Mary(메리)와 Jane(제인)에 해당되기 때문에 이런 은어가 붙었습니다.",대마초
트랜드메이커,트렌드를 만들어가는 사람을 의미합니다. 유행 선도자와 일맥상통합니다.,트랜드 선두자
꿀조합,꿀+조합으로 아주 잘 어울리는 조합을 의미하는 말입니다.,아주 어울리는 조합
라틴댄스,라틴계의 춤을 춰서 행복한 느낌을 갖는 것입니다.,라틴댄스
외모지상주의,외모를 너무 중요시하는 태도를 의미하는 말입니다.,외모가 중요시 된 사회
티켓팅,인기 있는 티켓 구매를 하는 행위를 말합니다.,티켓팅
눈뽀개기,아주 졸릴 때 눈을 자극하여 기운을 찾기 위한 행동을 의미합니다.,눈을 자극하여 기운을 찾기 위한 행동
트친,트위터 친구의 줄임말 입니다.,트위터 친구
모쏠,모태솔로로서 연애 경험이 없는 사람입니다. (모태+솔로),"여지것 혼자, 태어나서 지금까지 연애 무경험"
발라드병,발라드를 너무 좋아하여 중독된 상태를 의미하는 말입니다.,"발라드를 많이 좋아하는 상태, 발라드를 많이 좋아하는 상태에"
유트브충,유튜브를 즐기고 콘텐츠를 많이 업로드하는 사람을 속된말로 부르는 말입니다.,"유튜브에 푹 빠진, 유튜브에 푹 빠진 사람"
선망스러움,선망하고 부러워하는 감정을 표현한 말입니다. ,선망하고 부러워하는 감정
눈치채삼,눈치가 빠른 사람들이 모여 다니는 모습을 지칭하는 단어입니다.,눈치 빠른 사람들
요즘식구,요즘 시대의 가족 관계를 의미하는 단어입니다.,요즘 시대 가족
폰피커,스마트폰을 스피커 처럼 사용하는 것을 의미합니다.,핸드폰 스피커
찐맛집,진짜 맛있는 음식점을 가리키는 용어을 의미합니다.,진짜 맛집
계절템,계절마다 인기 있는 옷이나 패션 아이템을 지칭하는 말을 의미합니다.,계절 아이템
트친소,같은 팬덤이거나 여러가지로 마음이 맞는 사람들과 트친을 맺고 싶을때 올리는 트윗을 의미합니다.,트위터 친구와 소계
어팩추,어디서 팩을 했는지 추천의 줄임말입니다.,어디서 팩을 했는지 추천
영앤리치,어리고 부자인 사람이라는 뜻 young + rich의 합성어,"어리고 부자인, 어린 부자"
꿀탱,꿀+달탱이를 합친 말로 매우 기분 좋은 상태를 의미합니다.,매우 기분 좋은 상태
스압,인터넷에서 게시물의 분량이 커지면 그만큼 스크롤바의 크기가 작아지고 또 그 만큼 많이 내려야 하기 때문에 스크롤바를 아래로 잡아 당기거나 휠을 돌리는 것이 가히 압박적이라 해서 이렇게 부릅니다.,용량이 큰 게시물
아우라,개인적으로 주위에 느껴지는 분위기를 의미하는 단어입니다.,압도적 분위기
낚시,상대방에게 쉽게 빠지도록 꾀어내는 것을 의미하는 단어입니다.,"거짓말, 사기, 속이는거, 사기치는거"
존잘남,존재가 잘난 남성을 의미하는 단어입니다.,정말 잘생긴 남자
카더라,"정확한 근거가 부족한 소문을 추측 사실처럼 전달하거나, 그런 소문을 의도적으로 퍼트리기 위한 행위, 추측성으로 만들어진 억측 또는 소문을 의미합니다.","추측, 하더라"
쇼크,모든 사람들이 놀라는 춤을 지칭합니다.,"놀랍다, 충격, 충격이"
인강,인터넷 강의의 줄임말입니다.,인터넷 강의
데스티니,운명이라는 뜻을 지니고 있으며 목표나 운명에 대한 표현으로 사용됩니다.,운명
휴직,일을 쉬구있는 상태를 의미합니다.,일을 쉬구있는 상태
집돌이,집에서만 활동하는 사람을 의미합니다. (집순이 + 남자),집에만 머물고 있는 사람
포스터,블로그 포스트를 자주 하는 사람을 의미합니다. (포스팅+스타),"블로그 포스트를 자주 하는 사람, 블로그 포스트"
육아휴직,육아를 위해 일을 쉬는 휴가를 지칭하는 말을 의미합니다.,육아휴직
인싸클리닉,인싸가 되기 위해 병원을 간 것처럼 인싸능력을 키우는 곳을 의미합니다.,"인싸능력을 키우는 곳, 인싸능력을 키우는 장소"
리액션캠,다른 사람의 반응을 찍는 카메라을 의미합니다.,"사람의 반응을 찍는 카메라, 사람의 반응을 찍은 영상"
주부운전,남편의 차를 타고 다니는 주부들을 지칭하는 말을 의미합니다.,남편의 차를 타고 다니는 주부
돌싱녀,이혼 경험이 있는 여성을 지칭하는 말을 의미합니다.,이혼녀
댕댕아,강아지를 귀엽게 가리키는 말입니다.,강아지
눈치팔이,주위 사람들의 눈치를 많이 보는 사람을 가리키는 말입니다.,"눈치를 많이 보는 사람, 눈치를 많이 보는 행위"
오오티디,Outfit of the Day의 발음을 한국어로 표현한 신조어입니다.,오늘의 패션 
OOTD,Outfit of the Day의 줄임말입니다.,오늘의 패션
인플루언서,소셜 미디어를 통해 영향력을 행사하는 사람을 의미하는 말입니다.,소셜미디어에서 유명한 사람
UBD,17만 명의 관객을 동원하는 데에 그쳐 흥행에 실패한 《자전차왕 엄복동》의 영문 이니셜을 활용하여 만든 관객 수를 세는 단위로 1 UBD는 17만 명이다.,17만명 단위
광우뻥,2007년 4월 당시부터 시작된 미국산 소 관련 광우병(소해면상뇌병증)의 관련된 파문과 2008년 MBC PD수첩의 미국산 쇠고기 관련 보도 등을 가장 강하게 비꼬는 취지의 말이다.,"오역, 거짓 뉴스에 대한 풍자"
귀맹랑법,청탁접대금지법(김영란법)이라는 이른바 부정 청탁 및 금품 등 수수 관련 금지에 관한 법률(2016년 제정)의 허점을 부정적으로 비꼬는 말.,"김영란법의 허점, 김영란 법"
각,가능성 상황. 게임 리그 오브 레전드의 흥행을 통해 널리 유행하게 되었으며 상대 플레이어를 죽일 가능성을 '킬 각(kill 角)'이라고 하였고 줄여서 '각'이라고 하였다.,가능성
딸피,주로 FPS게임에서 사용되는 용어로 총을 사용해 적에게 타격을 주었으나 죽지는 않고 피가 많이 닳았다는 뜻 피가 조금밖에 없다는 죽기 일보직전이라는 말이다.,죽기 일보직전
개피,주로 FPS게임에서 사용되는 용어로 총을 사용해 적에게 타격을 주었으나 죽지는 않고 피가 많이 닳았다는 뜻 피가 조금밖에 없다는 죽기 일보직전이라는 말이다.,죽기 일보직전
광클,미친(狂) 듯이 마우스 버튼을 빠르게 클릭하는 것을 말합니다.,빠르게 마우스 클릭
너프,디버프 약화. 《울티마 온라인》에서 어떤 칼의 능력치를 격하시켰는데 이를 두고 사용자들이 '무슨 너프 칼인가'라고 말한 것에서부터 유래되었다. 너프는 실존하는 장난감 브랜드이다. 이 단어가 만들어지고 후에 '버프'라는 단어가 파생되어 '능력치를 좋게 한다'라는 뜻으로 자리잡았다.,다운그레이드
다구리,포트리스에서 유래한 말이지만 다구리에서 파생된 말로 여러 명이서 한 명을 공격한다는 뜻입니다.,한명을 여려명이서 공격
다굴,포트리스에서 유래한 말이지만 다구리에서 파생된 말로 여러 명이서 한 명을 공격한다는 뜻입니다.,한명을 여려명이서 공격
본캐,본(本) 캐릭터'의 준말로 게임을 처음 시작했을 때부터 관리한 캐릭터 혹은 가장 중요한 캐릭터를 뜻하는 단어입니다.,메인 캐릭터 
부캐,부속으로 딸린 캐릭터'로 '본캐'와 반대의 의미하는 신조어입니다.,부속 캐릭터
서서도,슈퍼 마리오 메이커 2에서 배틀 시스템이 도입되어 있는데 여기서 메시지 중 하나인 '서로서로 도와요!'를 플레이어가 이 메시지를 쓴 플레이어를 죽였을 때 쓰입니다.,서로서로 도와요
하드캐리,팀 전투 게임에서 한 사람이 뛰어난 활약으로 팀의 승리를 이끈(carry) 것을 뜻한다. 의미가 확장되어 게임 이외의 분야에서도 쓰입니다.,눈부신 활약
캐리,팀 전투 게임에서 한 사람이 뛰어난 활약으로 팀의 승리를 이끈(carry) 것을 뜻한다. 의미가 확장되어 게임 이외의 분야에서도 쓰입니다.,"이끔, 이끌었"
테크,"순서, 절차 계획. 테크놀로지 트리(Technology Tree)의 줄임말로 스타크래프트에서 유닛을 업그레이드하는 순서를 뜻하는 말입니다.","순서, 절차 계획"
트리,"순서, 절차 계획. 테크놀로지 트리(Technology Tree)의 줄임말로 스타크래프트에서 유닛을 업그레이드하는 순서를 뜻하는 말입니다.","순서, 절차 계획"
테크트리,"순서, 절차 계획. 테크놀로지 트리(Technology Tree)의 줄임말로 스타크래프트에서 유닛을 업그레이드하는 순서를 뜻하는 말입니다.","순서, 절차 계획"
개드립,디시인사이드 코미디프로그램갤러리에서 태생된 단어로서 애드리브(adlib)와 폄하의 의미를 가진 '개'의 합성어. 상대방이 (정도가 심한)터무니없는 말을 하거나 진실되지 못한 발언을 할 때 (개)드립이라고 일축한다. 일반적으로 자신의 필요없는 창의력을 이용하여 남으로부터 관심을 받으려는 대표적인 행위이다. 흔히 개드립치지 마라는 뜻으로 쓰인다.,말장난
뇌절,원래 나루토에 등장하는 기술 이름으로 똑같은 말이나 행동을 반복하여 상대를 물리게 하는 일을 뜻합니다.,"곤경, 멘탈붕괴, 반복"
덕후,"덕, 오덕후,오덕,씹덕 어떤 분야에 집중하는 정도가 강한 사람을 가리킨다. 2005년 디시인사이드 애니메이션 갤러리에서 ‘오덕후’라는 단어를 처음으로 사용하였다. 덕후로서 하는 일을 덕질이라고 합니다.","한 부분에 강한 집착을 보이는 사람, 한 부분에 강한 집착을 보이는"
박퀴벌레,박사모 틀딱들은 '바퀴벌레'와 같다는 말에서 유래한 신조어입니다.,박사모 혐오단어
코로나블루,코로나 바이러스로 인한 우울증과 무기력함을 의미하는 신조어입니다.,"코로나로 인한 우울증, 코로나로 인한 우울증이, 코로나로 인한 우울증에"
온라인데이트,인터넷을 통해 온라인으로 데이트하는 것을 의미하는 신조어입니다.,온라인 데이트
홈쿡,집에서 요리하는 것을 의미하는 신조어입니다.,집에서 요리
도시락파티,개별적으로 준비한 도시락을 모아 간단한 파티를 즐기는 것을 의미하는 신조어입니다.,도시락 파티
유행어,일시적으로 인기가 많은 언어나 표현을 의미하는 신조어입니다.,"유행하는 단어, 유행하는 말"
마진콜,투자 손실로 인해 발생하는 추가증거금 요구. 어느 포지션이든간에 일단 손실이 생겨서 발생하는게 마진콜이기 때문에 대체로 부정적인 의미합니다.,마진콜
비트콜,가격이 크게 하락하여 매수 기회로 판단하여 주식 등을 구매하는 것을 의미하는 신조어입니다.,비트콜
블루투스마스크,마스크 안에서 블루투스 이어폰을 사용하는 것을 의미하는 신조어입니다.,마스크 안에서 블루투스 이어폰 사용
포스트코로나,코로나 이후의 시대를 의미하는 신조어입니다.,코로나 이후에 시대
언택트,비대면 온라인 문화를 의미하는 신조어입니다.,비대면 접촉
부산세도심권,"경제활동과 문화, 쇼핑 등이 활발히 이루어지는 부산의 중심지를 의미하는 신조어입니다.",부산세도심권
디지털노마드,일정한 사무실이나 집에 국한되지 않고 디지털 기술을 활용하여 여행하며 일하는 것을 의미하는 신조어입니다.,디지털 유목민
잔디털보드,디지털 잔디에 글을 올리듯이 인터넷에 글을 쓰는 것을 의미하는 신조어입니다.,인터넷에서 글쓰기
포토투어,사진을 찍으며 여행하는 것을 의미하는 신조어입니다.,사진찍고 다니는 여행
백신 부작용,백신 접종 후 발생하는 부작용을 의미하는 신조어입니다.,백신 부작용
1도,"하나도. 헨리가 2014년에 MBC 《진짜 사나이》에서 군내 퀴즈 대회의 정답으로 ‘모라고 하는지 1도 모르겠습니다’라고 적은 것에서 유래한 ‘1도 모르겠다.’가 먼저 유행하였고, 이후 ‘1도 없다.’ 등의 표현이 유행하였습니다.",하나도
극대노,"아주 심하게 화를 냄. 2001년에 SBS 시트콤 《웬만해선 그들을 막을 수 없다》에서 나왔다.[130] 화내는 단계 중 제일 높은 단계이며 아래로는 극소노, 소노, 중노, 대노가 있다.",화가 매우난 상태
먹방,먹으면서 하는 방송의 줄임말로 영화 《황해》에서 하정우가 김밥을 먹는 장면을 본 관객들이 깊은 인상을 받으면서 퍼지기 시작했다. 일반적으로 먹방은 시청자로 하여금 출연자가 먹는 음식을 먹고 싶게 만드는 신종 밥도둑과 같은 것이라고 한다,먹는 방송
빵꾸똥꾸,"2009년에 MBC 일일시트콤 《지붕뚫고 하이킥!》에서 나온 말이다. 극중에 평소 방귀를 잘 뀌는 순재는 어린 해리 앞에서도 방귀를 뀌어댔다. 해리의 엄마인 현경은 순재에게 ""아버지는 그렇게 똥꼬를 들이대고 방귀를 뀌세요?""라고 했고 순재는 ""방귀 뀌면 어때서? 너야말로 애비한테 똥꼬가 뭐야! 똥꼬가!""라고 했다. 그러자 현경은 ""애한테 자꾸 방귀를 먹이니까 똥꼬라고 하죠!""라고 했다. 그러자 순재는 ""방귀 먹인다고 똥꼬라고 해?""라고 하자 말을 막 배우던 해리는 할아버지 순재를 '빵꾸똥꾸'라고 부르기 시작했고 그 후부터 해리는 마음에 안 드는 사람은 ""빵꾸똥꾸""라고 부르기 시작한다.",바보
좋은가봉가,「동사」 2013년에 MBC 예능 《아빠! 어디가?》에서 나온 유행어이다. 프로그램에 출연하는 윤민수의 아들 윤후가 송종국의 딸인 지아가 자기를 좋아하는 것 같다는 뜻에서 '지아가 나가 좋은가봉가'라는 말을 하였다. 아이의 순수하고 귀여운 모습에 '좋은가봉가'는 유행어가 되었다.,좋은가봐
케찹고백,2017 설 아육대 촬영장에서 여자친구 엄지가 팬들에게 “케첩 두 개 받은 사람! 양심고백!”이라 말한 데에서 시작된 유행어로 사소한 것에 대한 고백을 의미한다.,양심선언
누가 기침소리를 내었어,"《태조 왕건》이라는 드라마에서 신하가 기침을 하자 궁예가 ""누구인가? 누가 기침소리를 내었어?""라고 한 것이 결국 유행어가 되었다.","누가 소리를 냈을까, 누가 소리를 냈어"
플렉스타그램,플렉스를 자랑하는 사진을 인스타그램에 올리는 것을 의미하는 신조어입니다.,자랑글
떡상,급속도로 인기가 오르거나 상승하는 것을 의미하는 신조어입니다.,급상승
아싸,아웃사이더의 준말로  소외된 사람들을 지칭하는 신조어입니다.,"소외된 사람, 소외된 사람이"
유튜버,유튜브에 동영상 컨텐츠를 업로드하여 활동하는 사람을 의미하는 신조어입니다.,유튜브로 수익을 내는 사람
팬데믹,전 세계적인 유행병 상태를 의미하는 신조어입니다.,유행병 상태
페미,여성의 권리와 평등을 주장하는 페미니즘을 의미하는 신조어입니다.,페미니스트
오바,과도한 감정 표현을 의미하는 신조어입니다.,과한반응
세포화,집콕하며 집에서 셀프 시간을 갖는 것을 의미하는 신조어입니다.,집에 혼자있는 시간
빅데이터,대규모 데이터를 의미하는 신조어입니다.,대규모 데이터
페이크뉴스,거짓 정보를 의미하는 신조어입니다.,가짜 뉴스
메타버스,가상 현실의 한 종류로 가상 공간에서 사회적 활동을 하는 것을 의미하는 신조어입니다.,가상공간 
공감콘텐츠,대중들에게 공감을 얻을 수 있는 콘텐츠를 의미하는 신조어입니다.,공감 콘텐츠
브이라인,우리나라는 과거 엉덩이가 크고 얼굴도 둥글둥글한 복스러운 얼굴형을 가진 이들을 미인이라 생각했다. 하지만 현재는 미적 기준이 달라지면서 둥근 얼굴보다는 이른바 'V라인'이라 일컫는 갸름한 얼굴을 선호하고 있다.,갸름한 얼굴
비대면시험,대면으로 시험을 보지 않고 온라인으로 시험을 보는 것을 의미하는 신조어입니다.,비대면 시험
데일리룩,일상적으로 입는 의상이나 스타일을 의미하는 신조어입니다.,일상복
리포스트,다른 사람의 게시물을 자신의 SNS 계정에 다시 올리는 것을 의미하는 신조어입니다.,글 다시 올리기
집콕,집에 머물며 나가지 않는 것을 의미하는 신조어입니다.,"집에 머물며 나가지 않는 것, 집안에 있기"
먹튀,"속어이자 약자의 일종으로, '먹고 튀다'의 준말이며 정당한 대가를 치르지 않거나 이익만 챙겨서 떠나는 행위입니다.","먹고 도망가다, 먹고 도망갔어, 먹고 도망"
멍뭉이,외모나 분위기 따위에서 느껴지는 강아지 같은 귀여움 을 뜻하는 말입니다.,귀여운 사람
와타시노,나의 것을 강조하는 표현을 의미하는 신조어입니다.,나의 것
드립,재치있고 유머러스한 말을 하는 것을 의미하는 신조어입니다.,개그
모태솔로,생애 처음으로 연애한 적이 없는 사람을 의미하는 신조어입니다.,한번도 연애 못해본 사람
썰전,뜬금없는 이야기나 비밀스러운 이야기를 나누는 것을 의미하는 신조어입니다.,이야기 나누기
고오급,고급스러움을 강조하는 신조어입니다.,고급
인생샷,인생 사진을 의미하는 신조어입니다.,제일 잘찍은 사진
내돈내산,자기 자신이 선물을 받지 않고 직접 구입한 선물을 의미하는 신조어입니다.,"내 돈으로 내가 산 것, 내 돈으로 내가 산 거"
심쿵,심장이 쿵하는 느낌을 의미하는 신조어입니다.,"두근, 두근거리는, 두근거림"
논리폭격기,논리적인 주장이나 논리를 날카롭게 사용하는 사람을 의미하는 신조어입니다.,"비판하는 사람, 비판, 비판하는 사람이"
비앤비,비즈니스 앤 브랜드의 줄임말로  비즈니스와 브랜드를 동시에 진행하는 것을 의미하는 신조어입니다.,비즈니스 앤 브랜드
이모화,이모티콘을 활용하여 감정을 표현하는 것을 의미하는 신조어입니다.,이모티콘 활용
뚜벅이,느릿느릿 걸으며 다니는 사람을 의미하는 신조어입니다.,걸어다니는 사람
멘탈,정신적인 강도나 강인함을 의미하는 신조어입니다.,정신력
핫스팟,인기있는 장소를 의미하는 신조어입니다.,인기있는 장소
코덕,코스플레이를 덕후로 즐기는 사람을 의미하는 신조어입니다.,코스프레 좋아하는 사람
직딩,직장인과 대학생을 합성한 말로  직장생활과 대학생활을 동시에 겪는 사람을 의미하는 신조어입니다.,직장인
썰방,썰 푸는 방송을 뜻하는 말입니다.,이야기 하는 방송
패드립,가족을 욕하는 말입니다.,가족욕
이득충,입니다.,이득을 추구하는 사람
추공,추석과 공포의 합성어로  추석 기간이 무서운 사람들을 이르는 말입니다.,추석 공포
가짜뉴스,가짜 뉴스의 줄임말로  사실과 다른 정보를 전달하는 뉴스를 의미하는 신조어입니다.,가짜 뉴스
와칸다,블랙 팬서의 와칸다를 의미하는 신조어입니다.,와칸다
땡긴다,땡땡이가 움직이거나 땅에 떨어진다는 뜻으로  무언가를 열망하거나 바라는 상태를 의미하는 신조어입니다.,끌린다
땡기네,땡땡이가 움직이거나 땅에 떨어진다는 뜻으로  무언가를 열망하거나 바라는 상태를 의미하는 신조어입니다.,끌린네
땡겨,땡땡이가 움직이거나 땅에 떨어진다는 뜻으로  무언가를 열망하거나 바라는 상태를 의미하는 신조어입니다.,끌려
월요병,월요일에 기분이 나빠지는 현상을 의미하는 신조어입니다.,"월요일이 싫은 상태, 월요일에 일하기 싫은"
덕덕,덕후의 줄임말로  취미를 뜻하는 신조어입니다.,"좋아하는 것을 하는 상태, 취미, 덕후"
주글,주목과 글의 합성어로 주목할 만한 글을 의미하는 신조어입니다.,주목할 만한 글
패런,패션과 인플루언서의 합성어로  패션 인플루언서를 의미하는 신조어입니다.,패션 인플루언서
흠칫뿡,흠칫거리며 뿡하는 소리를 표현하는 신조어입니다.,흥칫뿡
이색품,이색상품의 줄임말로  독특하고 이색적인 상품을 의미하는 신조어입니다.,이색강품
로판,로맨스 판타지의 줄임말로 로맨스 판타지 장르의 소설을 의미하는 신조어입니다.,로맨스 판타지
살사,살아서 하자와 사람들의 합성어로  살아서 하자는 사람들을 의미하는 신조어입니다.,살아서 하자
애교점,애교와 포인트의 합성어로  애교가 강조되는 장면을 의미하는 신조어입니다.,귀여운 부분
주식쟁이,주식과 쟁이의 합성어로  주식을 열심히 하는 사람을 의미하는 신조어입니다.,주식을 하는 사람
애플남,애플과 남자의 합성어로  애플제품을 좋아하는 남자를 의미하는 신조어입니다.,"애플을 좋아하는 남자, 애플 브랜드를 좋아하는 사람"
넷플릭스앤칠,"말그대로 해석하자면 ""넷플릭스 보면서 쉴래?""라는 뜻이며, 자연스럽게 둘만의 공간에서 데이트하자는 뜻입니다.",라면 먹으러 갈래?
꼼꼼쌤,꼼꼼하고 선생님의 합성어로  선생님 같이 꼼꼼한 사람을 의미하는 신조어입니다.,꼼꼼한 선생님
댕댕유치원,댕댕이와 유치원의 합성어로  댕댕이가 유치원에 다니는 것을 의미하는 신조어입니다.,강아지 유치원
찍먹,"새로운 게임이나 컨텐츠, 시스템이 자신에게 맞는지를 확인하기 위해 잠시 체험삼아 플레이해본다거나, 수험생들이 다른 강사의 컨텐츠를 체험삼아 학습하는 말입니다.",체험
행쇼,행복과 쇼핑의 합성어로  쇼핑을 하면서 행복한 기분을 느끼는 것을 의미하는 신조어입니다.,행복한 쇼핑
일비,일과 비오는 날의 합성어로  비오는 날에도 일을 하는 것을 의미하는 신조어입니다.,"비오는 날에 일간다, 비오는 날에도 일해"
쿨하다,"뒤끝 없고, 도시적이고, 스마트하고 시크하고 도도하고 사소한 것에도 얽매이지 않는 사람을 연상하게 하는 의미입니다.","멋있다, 시크하다, 사소한거에 집착하지 않는다"
집순이,집에숨다와 순이의 합성어로  집에 쉬는 순이와 같이 집에만 있는 사람을 의미하는 신조어입니다.,"집에 있는 사람, 집에서 쉬는 사람"
방돌이,방돌아와 돌아다니는 사람의 합성어로  방에만 있는 사람을 의미하는 신조어입니다.,"방에 있는 사람, 방에서 쉬"
다크 패턴,사람을 속이기 위해 설계된 사용자 인터페이스(UI)를 뜻하는 말입니다.,다크패턴
스킴플레이션,물가는 오르는 와중에 상품과 서비스의 양이나 질이 눈에 띄지 않게 떨어지는 현상입니다.,스킴플레이션
FOMO,놓치는 것을 두려워하는 심리로  부유한 자산 시장에 참여하지 못한 사람들이 상대적 박탈감을 느끼는 현상입니다.,포모 증후군
포모 증후군,놓치는 것을 두려워하는 심리로  부유한 자산 시장에 참여하지 못한 사람들이 상대적 박탈감을 느끼는 현상입니다.,포모 증후군
Zinance,Z세대와 금융을 결합한 용어로  Z세대의 적극적인 금융활동과 투자를 나타냅니다.,젊은 사람의 투자 활용
자이낸스,Z세대와 금융을 결합한 용어로  Z세대의 적극적인 금융활동과 투자를 나타냅니다.,젊은 사람의 투자 활용
E플레이션,E플레이션  에너지와 인플레이션의 결합어로  에너지 원자재 가격 상승으로 인한 전체적인 물가 상승을 의미합니다.,에너지 원자재 가격 상승
Phygital,오프라인 공간과 온라인 공간의 융합으로  온라인의 편리함과 오프라인의 물리적 경험을 결합하는 전략을 의미합니다.,피지털
피지털,오프라인 공간과 온라인 공간의 융합으로  온라인의 편리함과 오프라인의 물리적 경험을 결합하는 전략을 의미합니다.,피지털
체리슈머,최대한 알뜰하게 소비하는 전략적 소비자라는 뜻의 말입니다.,알뜰한 소비자
밀크플레이션,우유 가격 인상 여파로 식품 가격이 연이어 상승하는 현상을 뜻하는 말입니다.,밀크플레이션
팬더스트리,K팝 아티스트를 응원하는 팬덤문화가 산업화되는 것을 의미입니다.,K팝 아티스트를 응원하는 팬덤문화의 산업화
디깅소비,한 분야에 집중하고 탐닉하는 마니아적 소비를 일컫는 말입니다.,마니아적 소비
차이나런,중국 경제의 불확실성이 커지면서 중국 투자 자금이 빠져나가는 현상입니다.,탈중국화
뱅보드차트,저축은행들의 실시간 예금금리 순위를 일컫는 단어입니다.,예금금리 순위
금리 노마드족,이자를 조금이라도 더 주는 예적금 상품으로 갈아타기 하는 사람들을 뜻하는 말입니다.,더 높은 예적금 상품으로 갈아타기 하는 사람들
짠테크,2030 사이에서 확산되고 있는 소액까지 꼼꼼히 챙기는 소비를 일컫는 신조어입니다.,꼼꼼한 소비
