word,mean,similar
홀리몰리과카몰리,놀랄 때 사용하는 영어권 감탄사인 '홀리몰리'에 '과카몰리'가 추가된 업그레이드 된 감탄사를 뜻하는 말입니다.,너무 놀랍다
ㄱㄷㄴ,극한의 큰 분노인 극대노를 줄인 표현입니다.,"매우 화가난다, 화 낸, 화가 난 상태"
ㅇㄴㄷ,야 나도 동감의 표현입니다.,"나도 동감, 야 나도, 나도 동감해"
ㅁㅊㄷㅁㅊㅇ,미쳤다 미쳤어의 줄임말입니다.,놀랍다 놀라워
ㄴㄱㄴ,너 곧나  너의 의견이 곧 나의 의견이다  이라는 뜻의 말입니다.,너의 의견이 곧 나의 의견
WLS,진짜 중의 진짜라는 뜻으로 찐의 다른 의미입니다.,진짜
ㅇㄱㄹㅇ,이거 레알이라는 뜻으로 이거 정말이라는 뜻입니다.,이거 정말
런치투어족,점심 안 먹고 자기 계발에 시간 활용하는 직장인이라는 말입니다.,"점심시간을 활용하여 자기계발,점심시간을 활용하여 자기계발 활동"
리세마라,좋게 풀릴 때까지 반복하는 노가다 라는 말입니다.,"게속 반복, 반복"
망붕 렌즈,사실이 아닌 다른 시선으로 바라보는 것 이라는 뜻의 말입니다.,상상
메신저 감옥,카카오톡에서 언제 어디서나 지시가 가능해져서 생긴 신조어,"언제 어디서나 지시,언제 어디서나 지시당해"
빼박 캔트,취소할 수 없다는 말입니다.,"확실한 사실, 결론, 결론이"
스좁비,스마트폰만 보며 앞도 제대로 안 보는 사람들을 말합니다.,핸드폰만 보면서 돌아다니는 사람
오놈아놈,오 요놈 아는 놈인가?의 줄임말입니다.,이 사람인가
운도남녀,운동화 신고 출근하는 남녀 라는 뜻의 말입니다.,운동화 신고 출근하는 남녀
월급 로그아웃,통장에서 월급이 들어오자마자 카드값과 세금 등으로 빠져나가는 상태 라는 말입니다.,"월급이 들어오자마자 카드값과 세금 등으로 빠져나가는 상태, 월급이 들어오자마자 돈이 다 나갔어"
코로나 케이션,코로나로 인해 학교를 쉬면서 마치 방학과 같다는 뜻입니다.,코로나로 인한 방학
타임 푸어,시간에 쫓기는 삶 이라는 뜻의 입니다.,바쁜 삶
펭귄부부,식생활과 외식  여가 등을 모두 어린 자녀에게 맞추는 부부라는 뜻의 말입니다.,어린 자녀에게 맞추는 부모
확찐자,확 살이 찐자를 뜻 하는 말입니다.,"살이 갑자기 찐 사람, 갑자기 살찜"
회의주의자,뻑하면 회의하자고 하는 직장인 이라는 뜻의 말입니다.,회의 자주하는 사람
살코기 세대,불필요한 인간관계를 최소화한 세대를 뜻하는 말입니다.,인간관계를 최소화한 세대
편백족,끼니 등을 편의점에서 해결하면서 옷이나 신발 등은 백화점에서 명품을 사는 사람을 뜻합니다.,"사치를 부리는 사람, 사치"
대 2병,취업과 진로에 대한 고민으로 대학교 2학년생들이 겪는 불안감를 뜻하는 말입니다.,"취업과 진로에 대한 고민, 취업과 진로에 대한 고민에 병"
연서복,막 제대해서 연애에 서툰 복학생을 뜻하는 말입니다.,연애에 서툰 복학생
쓸쓸 비용,외로움을 달래기 위해서 쓰는 비용을 뜻하는 말입니다.,외로움을 달래기 위해서 쓰는 비용
톤그로,얼굴에 맞지 않는 색조 화장품을 사용하는 사람을 뜻하는 말입니다.,맞지 않는 화장품
영끝,영혼까지 끌어모으다의 줄임말입니다.,"수중에 모든것을 모으다, 가진 모든것을 모아서"
능지,지능을 거꾸로 말한 단어로 의미는 지능과 동일한 말입니다.,지능
글설리,글쓴이를 설레게 하는 리플을 말합니다.,설레는 글
루삥뽕,아무런 의미가 없는 웃음소리와 같은 의성어입니다.,재밋다
나홀로족,혼자만의 여유를 중시하는 세대를 뜻하는 말입니다.,"혼자만의 여유를 가지는 삶, 혼자만의 여유"
파이어족,30대 말이나 늦어도 40대 초반까지는 조기 은퇴하려는 사람들을 뜻하는 말입니다.,"빨리 벌어서 일찍 은퇴하는 사람, 빨리 벌어서 일찍 은퇴"
먹노매,먹이를 노리는 매의 눈의 줄임말입니다.,먹이를 노리는 매의 눈
실매,실시간 매니저의 줄임말로 유튜브 및 인방(인터넷 방송)에서 사용되는 신조어입니다.,실시간 매니저
머쉬업,무리한 혼합이나 융합을 의미하는 신조어입니다.,무리한 혼합
플리투,플리투스타일의 줄임말로  자유분방하고 솔직한 스타일을 의미하는 신조어입니다.,쟈유로운 스타일
이짓뚜드림,이야기를 뚜들 것처럼 만드는 꿈을 의미하는 신조어입니다.,이짓뚜드림
버디링,버디와 트링과의 합성어로  버디와 트링으로 친구를 만드는 것을 의미하는 신조어입니다.,버디링
라이꿀,라이언과 꿀의 합성어로  라이언 인형을 꿀처럼 꾸미는 것을 의미하는 신조어입니다.,라이꿀
Zero Trust,외부 뿐만 아니라 내부까지 모든 요소를 신뢰하지 않는 보안 모델입니다.,제로 트러스트
제로 트러스트,외부 뿐만 아니라 내부까지 모든 요소를 신뢰하지 않는 보안 모델입니다.,제로 트러스트
브레그렛,영국의 EU 탈퇴 이후 후회하는 분위기 라는 말입니다.,영국의 EU 탈퇴 이후 후회하는 분위기
무지개매너,무지+개매너의 합성어. 매너가 매우 없다는 뜻입니다.,"매너가 없다, 매너가 없네"
버터페이스,"BUT HER FACE' 모든 방면이 뛰어나지만, 외모가 아쉬운 여성에게 쓰이는 말입니다.","모든 방면이 뛰어나지만 외모가 아쉬운 여성, 얼굴 뺴고 완벽"
가싶남,가지고 싶은 남자의 줄임말입니다.,가지고 싶은 남자
댓망진창,댓글이 논리가 없고 엉망진창이다 라는 뜻입니다.,댓글이 논리가 없고 엉망진창
번달번줌,번호 달라고 하면 번호 줌?의 줄임말로 좋아하는 이성에게 대시할 때 쓰는 말입니다.,번호 달라고 하면 번호 줌?
파덜어택,아버지에게 혼났다는 뜻입니다.,훈육
엄빠주의,엄마 아빠를 조심하라는 뜻입니다.,엄마 아빠 조심
아벌구,입만 열면 거짓말이라는 속된 표현의 말입니다.,"거짓말쟁이, 거짓말만 하네, 거짓말만 한다"
우유남,우월한 유전자를 가진 남자의 줄임말입니다.,"우월한 유전자를 가진 남자, 완벽한 사람"
가스 라이팅,상황 조작을 통해 타인의 마음에 자신에 대한 의심을 불러일으켜 현실감과 판단력을 잃게 만듦으로써 그 사람을 정신적으로 황폐화시키고 그 사람에게 지배력을 행사하여 결국 그 사람을 파국으로 몰아가는 것을 의미하는 심리학 용어입니다.,정신조작
테이퍼링,경기 침체기에 경기 회복을 위하여 썼던 각종 완화 정책과 과잉 공급된 유동성을 경제에 큰 부작용이 생기지 않도록 서서히 거두어들이는 전략을 말합니다.,테이퍼링
위드 코로나,"(=with Corona) 코로나19의 장기화에 따른, 코로나19를 예방하며 일상생활을 해야 하는 시기 또는 정책을 말합니다.",위드 코로나
네거티브,영어의 네거티브(negative)로 특히 각종 선거 운동 과정에서 상대방에 대한 '기면 기고 아니면 그만이다'라는 식으로 마구잡이로 하는 음해성 발언이나 행동을 일컫는 말입니다.,"음해성 발언, 행동"
티키타카,티키타카(tiqui-taca)는 스페인어로 탁구공이 왔다 갔다 하는 모습을 뜻하는 말로 짧은 패스를 빠르게 주고받는 축구 경기 전술을 말하기도 한다. 최근에는 사람들 사이에 잘 맞아 빠르게 주고받는 대화를 의미하기도 하는 말입니다.,"대화가 잘 통함, 대화, 주고받는게"
깐부,"딱지치기, 구슬치기 등 놀이를 할 때 같은 편을 의미하는 속어로, 딱지나 구슬 등도 공동 관리하는 한 팀을 의미한다. (=깜보, 깐보)","같은 편, 같은 편이"
치팅데이,"치팅데이(Cheating Day)는 '(몸을) 속인다'라는 뜻의 'Cheating'과 '날(日)'이라는 뜻의 'Day'가 합성되어 만들어진 용어로, 식단 조절 중 부족했던 탄수화물을 보충하기 위해 1~2주에 한 번 정도 먹고 싶었던 음식을 먹는 날을 뜻하는 말입니다.",먹고 싶었던 음식을 먹는 날
밀키트,"[meal kit] 식사를 뜻하는 밀 [meal]과 세트라는 의미의 키트 [kit]가 합쳐진 단어로 요리에 필요한 손질된 식재료와 딱 맞는 양의 양념, 조리법을 세트로 구성해 제공하는 제품으로 쿠킹 박스, 레시피 박스라고도 한다.",레시피 박스
MZ세대,"1980년대 초반~2000년대 초반 출생한 밀레니엄(M) 세대와 1990년대 중반~2000년대 초반 출생한 Z세대를 아울러 이르는 말이다. 디지털 환경에 익숙하면서, 아날로그를 경험한 경계 사이에 있는 세대라는 특징을 보인다.",1990년대 중반~2000년대 초반 출생한 세대
원더 윅스,"원더 윅스(Wonder weeks)는 아기가 정신적으로 성장하는 시기를 가리키는 말로, 육아의 입장에서는 더 많이 울고 보채는 과정에서 부모를 가장 힘들게 하는 때를 말한다.",정신적으로 성장하는 시기
간선 상차,간선 상차란 터미널 간의 화물을 운반하는 대형 화물차에 물품을 실은 상태 또는 물품을 싣고 출발한 상태를 말한다. 터미널 간선 상차라는 말은 터미널에서 작업이 끝나고 다시 차에 짐을 실었다는 이야기이다. 반대말로는 간선 하차가 있다.,간선 상차
시가총액,시가총액이란 전 상장주식을 시가로 평가한 것이다. 여기에 개별종목의 시가총액을 말하는 경우와 주식시장 전체의 시가총액은 그 종목의 발행주식수와 주가를 곱한 것으로 그 회사의 규모를 평가할 때 사용한다.,시가총약
오세,공부만 하는 사람을 이르는 말로 대상에 대한 비난의 의미가 다소 포함되어 있는 말입니다.,"공부만 하는 사람, 공부만 했다"
여보,부부간에 서로를 부루는 호칭.'여기 보시오'가 줄어서 된 말이다. ,여보
모멘텀,"주가가 상승하고 있을 때 얼마나 더 상승할 것인지, 또는 주가가 하락하고 있을 때 얼마나 더 하락할 것인지를 나타내는 지표 입니다.",주가지표
화수분,재물이 계속 나오는 보물단지. 그 안에 온갖 물건을 담아 두면 끝없이 새끼를 쳐 그 내용물이 줄어들지 않는다는 설화상의 단지를 이른다.,줄어들지 않는 보물단지
스트리밍,"음악 파일이나 동영상 파일을 스마트폰 따위의 휴대용 단말기나 컴퓨터에 내려받거나 저장하여 재생하지 않고, 인터넷에 연결된 상태에서 실시간으로 재생하는 일. 또는 그런 재생 기술이나 기법. 규범 표기는 미확정이다.",스트리밍
디폴트,"채무자가 공사채나 은행 융자, 외채 등의 원리금 상환 만기일에 지불 채무를 이행할 수 없는 상태. 채무자가 민간 기업인 경우에는 경영 부진이나 도산 따위가 원인이 될 수 있으며, 채무자가 국가인 경우에는 전쟁, 혁명, 내란, 외화 준비의 고갈에 의한 지급 불능 따위가 그 원인이 된다.",디폴트
닝바닝,닝겐 바이 닝겐'의 줄임말입니다.,"사람마다다르다, 상황마다 다름"
룸곡옾눞,폭풍눈물' 종이나 메모장에 쓴 뒤 뒤집어 보시면 '룸곡옾눞'이라고 나오는 말입니다.,폭풍눈물
따상,더블(따불)과 상한가를 합친 말입니다.,두배 상한가
츤데레,"쌀쌀맞고 인정이 없어 보이나, 실제로는 따뜻하고 다정한 사람'을 이르는 말입니다.","쌀쌀하지만 실제로 따뜻하고 다정한 사람, 쌀쌀하지만 실제로 따뜻하고 다정한 사람이"
랜친실안,랜선으로는 친하지만 실제로는 안 친한 관계'의 줄임말입니다.,랜선으로는 친하지만 실제로는 안 친한 관계
완내스,완전 내 스타일'의 줄임말입니다.,완전 내 스타일
비번,비밀번호의 줄임말입니다.,비밀번호
방제,방의 제목의 줄임말입니다.,방제목
까도남,까칠한 도시 남자의 줄임말입니다.,까칠한 도시 남자
걸조,걸어다니는 조각상의 줄임말로 꽃미남을 뜻합니다.,"미남, 미남이"
볼매,볼수록 매력있다의 줄임말입니다.,"볼수록 매력있다, 볼수록 매력, 볼수록 매력이"
생파,생일파티의 줄임말입니다.,생일파티
흉아,형아를 귀엽게 표현한 말입니다.,형
무플,인터넷 게시물에 댓글이 없을 때를 뜻하는 말입니다.,"댓글이 없다, 댓글이 없는 상태"
우왕굳,"재미있거나 호기심 있는걸 볼때 사용하는 것으로, 풀어쓰면 우와 GOOD! 의 의미가 있다.",멋지다
쌩얼,민낯을 표현하는 말로 안경을 안쓰고 화장을 안한 사람의 맨얼굴을 뜻합니다.,화장안한 얼굴
길막,길을 막는다의 줄임말입니다.,"길을 막다, 길을 막는거"
버정,버스 정류장의 줄임말입니다.,버스 정류장
문상,문화상품권의 줄임말입니다.,문화상품권
깜놀,깜짝 놀랐다의 줄임말입니다.,깜짝 놀랐다
반삭,삭발보다 길고 스포츠형보다는 짧은 머리모양을 뜻하는 말입니다.,짧은 머리
병맛,"병맛은 대한민국의 인터넷 신조어로, '병신같은 맛'을 줄인 말이다. '맥락 없고 형편없으며 어이없음'을 뜻한다.","어이없음, 병신같은 맛"
OTL,사람이 무릎꿇고 좌절하고 있는 모습을 표현 O = 사람머리 T = 팔  L→ 무릎꿇은다리 뜻하는 말입니다.,좌절
레알,Real을 그대로 읽은 것으로 '정말 진짜'의 의미입니다.,정말
므흣,"수상쩍은 미소, 마음이 흡족하다는 의미입니다.","흡족, 만족"
버카층,버스 카드 충전의 줄임말입니다.,버스카드충전
킹왕짱,지존 1인자를 표현하며 아주 대단하거나 기이한 사람 또는 사물을 표현입니다.,대단한 사람
차도남,차도녀 차가운 도시 남자. 차가운 도시 여자의 줄임말입니다.,차가운 도시 남자
간지나다,폼 난다. 뽀대나다와 비슷한 말입니다.,멋지다
놀토,노는 토요일의 줄임말입니다.,노는 토요일
버닝,"열정적으로, 열렬히, 엄청나게 빠져있음을 뜻합니다.",열정
무개념,개념이 없다는 줄임말입니다.,"개념이 없다, 생각없는 사람"
냉무,"내용이 무(없다)는 뜻으로, 제목이 곧 내용이라는 '제곧네'와 같은 의미입니다.",제목이 곧 내용
크크로삥뽕,"ㅋㅋㅋㅋㅋㅋㅋ'와 같은 의미로, 웃는 표현이며 상대를 약 올릴 때 사용되기도 합니다.",재밋다!
머장,대장이라는 글자를 생긴 대로 바꾼 것이다,대장
관태기,관계와 권태기를 합성한 단어이다,관계의 권태기
무민세대,소소한 가치를 추구하며 살아가는 세대를 지칭하는 말이다,소소한 가치를 추구하며 살아가는 세대
얼로너,모든 것을 혼자서 즐기는 사람을 뜻하는 단어입니다.,모든 것을 혼자서 즐기는 사람
띠용,분위기가 갑자기 어리둥절 해질 때 사용하는 단어입니다.,어리둥절
부린이,부동산과 어린이의 합성어입니다. 부동산을 투자하고 공부하는 초보자를 말합니다. 부동산을 모르는 어린이가 부린이입니다.,부동산 초보자
하차감,승차감과 반대로 자동차에서 내릴 때 느끼는 감정입니다.,차에서 내릴 때 감정
네오 싱글족,경제력과 디지털 활용 능력을 바탕으로 독신 문화를 만끽하는 독신주의 세대라는 뜻입니다.,경제력과 디지털 활용 능력을 바탕으로 독신 문화를 만끽하는 독신주의 세대
싫존주의,싫어하는 취향도 당당히 밝히고 서로 존중해주는 젊은 세대를 가리키는 말입니다.,싫어하는 취향도 당당히 밝히고 서로 존중해주는 젊은 세대
와우내,놀라운 감정을 귀엽게 표현한 신조어입니다.,놀랍다
힙찔이,"힙합+찌질이힙합 장르의 예술 행위를 주로 영위하거나 감상하는 사람들 중 악질적인 자들을 비하하는 멸칭.당연하지만 모든 힙합 리스너들이 힙찔이는 아니니, 사용하는 데 주의를 요하는 표현입니다.","힙합에 대해 제대로 이해하지 못하고 민폐를 끼치는 사람들, 바보"
뽐뿌,어떤 것을 매우 사고 싶다는 의미로 사용됩니다.,"구매욕, 사고싶다"
ㅈㄴㄱㄷ,지나가던 사람이라는 뜻입니다.,지나가던 사람
거피셜,거의 오피셜이라는 뜻의 줄임말입니다.,거의 오피셜
돌밥돌밥,밥 차리고 상 치우고 돌아서면 밥 차려야 한다는 뜻의 줄임말이다.,밥 차리고 상 치우고 돌아서면 밥 차려야 한다
디지털 단식,디지털 매체를 의도적으로 사용하지 않는 일이라는 뜻입니다.,디지털 매체를 의도적으로 사용하지 않는 일
떡락,가치가 급격히 하락하는 것을 뜻합니다.,급격히 하락
방방봐,방송은 방송으로 봐라 라른 뜻입니다.,방송은 방송으로 봐라
사축,회사가 사육하는 동물이라는 의미합니다.,회사가 사육하는 동물
실어증,일하기 싫어증이라는 뜻으로 사용합니다.,"일하기 싫어, 일하기 싫은"
오저씨,오빠와 아저씨' 나이 차이가 애매한 사람을 부를 때 사용하는 말입니다.,나이 차이가 애매한 사람 
페이스펙,외모도 곧 스펙이다라는 뜻으로 사용됩니다.,외모도 곧 스펙
대유잼,엄청나게 재미있음을 뜻하는 말입니다.,"엉청 재밋음, 엉청 재밋지"
재질,물건이나 사람의 특성을 표현할 때 사용되는 말입니다.,"재질, 특성"
임포스터,게임 'Among Us'에서 배신자 역할을 하는 Imposter를 줄여 말합니다.,배신자
임포,게임 'Among Us'에서 배신자 역할을 하는 Imposter를 줄여 말합니다.,배신자
기억조작,"어떤 상황을 직접 겪은 듯한 착각이 들 때 사용하는 말. 주로, 노래, 영화, 드라마, 인물 등을 보고 사용됩니다.",기억조작
혈중마라농도,마라탕 열풍으로 나타난 신조어. 마라 섭취량을 뜻합니다.,마라 섭취량
레제,레이저 제모의 줄임말입니다.,레이저 제모
점메추해,점심 메뉴 추천해 주세요/점심 메뉴 추천해줘라는 뜻입니다.,점심 메뉴 추천해줘
넉살족,언제든지 넉살좋게 살아가는 종족입니다.,넉살좋은 사람
퇴튜던트,퇴근 후 공부하는 직장인의 줄임말입니다.,퇴근 후 공부하는 직장인
빡살족,뭐든지 빡세게 (열심히) 살아가는 종족입니다.,"뭐든지 열심히 살아가는 종족, 뭐든지 열심히"
돈미새,돈에 미친 'ㅅㄲ'입니다.,돈을 밝히는 사람
킹리적 갓심,합리적 의심을 강조하는 말 (KING : 왕 / GOD : 신)입니다.,합리적 의심
킹직히,완전 솔직히 강조 표현입니다.,완전 솔직히
원마일웨어,실내복이지만 집과 가까운 거리에는 외출복으로도 입을 수 있는 가벼운 옷차림입니다.,가벼운 옷차림
어퍼웨어,허리 위만 차려입으면 된다는 재택근무의 옷차림이라는 뜻입니다. EX) 양복재킷에 잠옷바지 (재택근무 화상회의 시),"재택근무의 옷차림, 허리 위에만 차려입어"
방구석 여포,사회에서는 매우 소심하지만 인터넷이나 특정 집단에서만 강한 사람입니다.,사회에서는 매우 소심하지만 인터넷이나 특정 집단에서만 강한 사람
와우네," ""감탄사 wow 네""입니다.",멋지네
맥세권 ," 맥도날드 배달가능 지역""이라는 뜻입니다.",맥도날드가 근처있는 지역
아이데이션," 구글링하다 네이버에게 묻다""라는 뜻입니다.",구글링하다 네이버에게 묻다
아이데이션하다," 구글링하다 네이버에게 묻다""라는 뜻입니다.",구글링하다 네이버에게 묻다
아이엠 그루트, 가디언즈 오브 갤럭시 의 캐릭터 그루트 에서 나온 말로 할 말은 많지만 하지 않겠다 라는 뜻입니다.,할 말은 많지만 하지 않겠다
ㄴㅇㄱ, 깜짝놀랄 때 쓰는 말입니다.,놀랍다
Latte is horse, 라떼는 말이야 > 나때는 말이야라는 뜻입니다.,"나때는 말이야, 옛날에는 말이야"
워라벨, 일과 삶의 균형 ' Work-life balance 이라는 뜻입니다.,일과 삶의 균형
저또지,"저거 또 지랄하네'의 줄임말, 주로 회사 메신저에서 자주 사용됩니다.","저거 또 지랄하네, 지랄"
남나깡,"남자는 나이가 깡패다'의 줄임말로, '남자는 나이가 어릴수록 좋다.'라는 의미입니다.","남자는 나이가 깡패다, 남자는 나이가 깡패"
빼박,"빼도 박도 못한다'의 줄임말로, 빼지도 박지도 못하는 상황을 의미합니다.",빼도 박도 못한다
빌런,"영어 단어 'Villain', 악당이란 뜻에서 유래되었으며, 인터넷상에서는 무언가에 집착하거나 특이한 행동을 하는 사람을 일컫는 말로 사용됩니다.",특이한 행동을 하는 사람
현피,"현실' + 'PK(Player Kill)'의 합성어로, 주로 게임에서 시비가 붙은 사람들이 실제로 만나서 싸우는 일을 말합니다.",실제로 만나서 싸움
팩력배,팩트 + 폭력배'의 합성어입니다.,비판적이고 직설적인 사람
아아,아이스아메리카노 줄임말입니다.,아이스아메리카노
여미새,여자에 미친 ㅅㄲ의 줄임말입니다.,"여자을 밝히는 사람, 여자을 밝히는 사람이"
남미새,남자에 미친 ㅅㄲ의 줄임말입니다.,"남자을 밝히는 사람, 남자을 밝히는 사람이"
제길슨,제기랄' 이란 욕을 '제이슨'이란 일반명사와 섞어 순화시킨 말입니다.,제기랄
십덕후,일본말로 어긴가에 깊게 빠져있는 폐인들을 지칭하는 말로 쓰이는 오타쿠(대체로 일본 애니나 비다오 게임에 빠진 사람들)오타쿠란 말이 우리나리에 익숙하게 오덕후란말로 변형되어 사용되고 있고 오덕후를 넘어선다고 해서 십덕후하고 합니다.,한 분야에 매우 깊게 빠져있는 사람
버로우,"버로우는 스타크래프트에 나오는 저그종족의 하이딩스킬인 버로우에서 나온 말인데, 일반적으로 자신 있게 떠벌리다가 약점이 발견되어 자취를 감출때, 적절하지 못한 행동이나 언행으로 인해 모습을 감출 때 쓰이는 말입니다.","숨다, 숨어, 숨는거"
앨범깡,앨범깡은 앨범을 열어서 그 안으 구성품 등을 확인하는 작업입니다.,앨범 포장지 뜯기
택배깡,택배깡은 택배를 뜯어서 확인하는 작업입니다.,택배 물품확인
희얼사,흐연사는 팬들 사이에서 사용되는 말입니다. 희귀한 연애인 사진의 줄임말입니다.,희귀한 연애인 사진
돈쭐,돈으로 혼쭐을 내다 라는 줄임말입니다. 혼쭐내다라는 표현은 잘못한 일에 대해 쓰는데 돈쭐은 반대로 선해에 가까운 표현입니다. 좋은 일을 하는 기업이나 브랜드등의 있을때 돈쭐 내주자라며 구매하는 행위를 말합니다., 좋은 일을 하는 기업이나 브랜드 제품 구매
마스크피싱,마스크와 낚시가 합쳐져 만들어진 신조어로 마스크를 착용한 얼굴이 더 좋아보이야해요? 그래야 사람들이 이해하죠. 라는 뜻입니다.,"마스크 쓴 얼굴에 사기를 당했다, 마스크 쓴 얼굴"
오뱅있,오늘 방송 있나요?의 줄임말입니다.,오늘 방송 있나요?
오뱅알,오늘 방송 알찼다의 줄임말입니다.,오늘 방송 알찼다
트수,트위치를 보는 사람이라는 뜻입니다.,트위치를 보는 사람
그스그청,그 스트리머에 그 시청자(트수) 비슷한 성향을 가진 스트리머/시청자. 라는 뜻입니다.,그 스트리머에 그 시청자
영도,영상 도네이션이라는 뜻입니다.,영상 도네이션
음도,음성 도네이션이라는 뜻입니다.,음성 도네이션
오겜무,오늘 게임 무엇이라는 뜻입니다.,"오늘 게임 무엇, 오늘은 어떤 게임하나요"
버근가,버그인다. 게임에서 예상 밖 상황에 쓰는 말입니다.,"예상 밖에 일이야, 예상 밖"
방플,방송 플레이. 시청자 참여 게임 참여자가 스트리머의 방송을 보며 플레이하는 것입니다.,방송 플레이
대장,거래금액이 높아지는 것을 주도적으로 나타내는 아파트를 뜻하는 단어입니다.,아파트
꾸자사모,"꾸준히 자산을 사서 모으자 줄임말. 주식, 코인과 부동산 등을 매입해 중장기적으로 보유하는 재테크 전략이나 이 같은 투자 방법을  고수 하는 사람을 일컫는 말입니다.","주식, 코인과 부동산등 투자를 하는 사람"
내러티브 자본,"내러티브 자본은 갈수록 커지는 서사(narrative) 힘을 강조합니다. 브랜딩이나 정치 영역에서 자기만의 서사를 내놓을 때 대중의 주목을 받고 확고한 지기 스토리가 기업, 개인의 경쟁력이 된다고 말합니다.",갈수록 커지는 서사
실재감테크,"갓의 공간 창조. 실제보다 더 진짜 같은 가상의 공간을 창조하는 기술을 말한다. 이 말은 가상 인간인 로지도 포함되며, 넓은 의미로는 메타버스 까지 속하고, 생활 스펙트럼을 확장시키는 기술입니다.",가상의 공간을 창조하는 기술
멈춰!,"학교폭력 예방대책 메뉴얼에 제시된 표어로, 동급생이 학교폭력을 저지르는 현장을 목격했을 때 외치도록 교육하는 구호입니다.",그만해
한국인이 좋아하는 속도,한국인 특유의 빨리빨리 문화에서 유래된 유행어입니다.,빠른속도
박박,대박대박의 줄임말입니다.,대박대박
짜짜,진짜진짜의 줄임말입니다.,진짜진짜
먹요일,다이어트 가간 중에 하루는 다이어트 식단과 관계없이 마음껏 먹을수 있는날이라는 뜻입니다.,먹는날
시심비,"시간대비 만족 한자로, 시간시 마음심 비교할비의 한자말을 엮어 투자한 시간에 비해 만족한다로 쓰입니다.",시간대비 만족
상상코로나,목이 칼칼하거나 재채기만 나도 코로나를 의심하게 되는 현상을 말합니다.,"코로나 의심, 감기증상,"
코로나 레드,코로나로 인해 생겨날수 있는 우울감이나 무기력증 뜻하는 코로나 블루를 넘어선 상태입니다.,"코로나로 인한 우울감, 코로나 때문에 우울한"
0.5 가구,업무나 휴식을 위해 여행 출장 등으로 자주 집을 비우게 되는 1인 가구를 의미합니다.,자주 집을 비우는 가구
핀테크,파이낸스 finance과 테크놀로지 technology를 합한 금융 용어입니다.,핀테크
무지성,진격의 거인 지서이 없는 거인 밈의 시작으로 널리퍼진 유행어입니다.,"생각없는, 생각없이, 생각없다"
제로투댄스,2019년 말에 제작된 인터넷 밈으로 서로 연관성이 없는 노래와 춤입니다.,제로투댄스
한심좌,"1억대의 틱톡 팔로우를 가지고 있으며, 6133만 인스타그램 팔로워를 보유중인 이탈리아의 틱톡커, 주로 올리는 영상은 틱톡에 자주 올라오는 영상의 종류인 일을 일부러 이상히게 퍼리한느 영상을 한심하다는 표정과 함께 비꼬듯 바로잡는 영상이다. 잘못된 일을 바로잡은 후엔 이걸 좀 보라는 듯한 메시지의 손짓을 하며 게임 영상 드에선 헤드셋을 내려 놓거나 다른 배역을 섭외하는 등 틱톡에 뻘짓이 올라올수록 영상이 발전해나가고 있다. 특유의 한심하다는 표정과 특유의 손짓이 워낙 적절하여 튼 인기를 끌어 틱톡의 다른 영상에도 그의 영상을 편집해 붙이거나 비슷한 컨셉으로 패러디 하는 인물도 많다라는 뜻입니다.","한심하다, 한심"
라고 할뻔,메이플스토리 갤러리에서 유래가 죈 드립으로 하고 싶은말을 다 해놓고서 갑자기 하고 할뻔이라며 2차로 상대를 역올린는 드립입니다.,라고 할뻔
